Player Name,Likes,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Trevor Story,,SS,6000,COL,SD,6.23,Davies,0.309,-3%,R,R,0.369,-5%,0.254,-9%,,2,,11%,4%,0%,14.5,14.5,14.5,2.8,26.2,11.1,1.8,0.0,0.0
Mike Trout,,OF,6000,LAA,HOU,4.45,James,0.281,-7%,R,R,0.453,4%,0.358,15%,,2,,-1%,2%,0%,8.3,8.3,8.3,-0.1,16.8,10.7,1.8,0.0,0.0
Fernando Tatis Jr.,,SS,5900,SD,@COL,6.77,Senzatela,0.341,4%,R,R,0.367,-3%,0.265,3%,,1,,34%,3%,0%,14.0,14.0,14.0,8.0,20.0,15.1,2.6,0.0,0.0
Charlie Blackmon,,OF,5600,COL,SD,6.23,Davies,0.329,1%,R,L,0.381,0%,0.245,10%,,3,,11%,3%,0%,8.8,8.8,8.8,-0.5,18.2,10.8,1.9,0.0,0.0
Christian Yelich,,OF,5600,MIL,STL,,Flaherty,0.279,-10%,R,L,0.446,10%,0.323,23%,,,,0%,0%,0%,3.3,3.3,3.3,-3.1,9.7,10.0,1.8,0.0,0.0
Freddie Freeman,,1B,5500,ATL,NYM,5.57,Peterson,,-4%,L,L,0.368,-4%,0.215,-4%,,3,,0%,2%,0%,8.8,8.8,8.8,-1.1,18.6,9.1,1.7,0.0,0.0
Nolan Arenado,,3B,5500,COL,SD,6.23,Davies,0.309,-3%,R,R,0.365,-9%,0.238,-15%,,4,,12%,4%,0%,5.0,5.0,5.0,2.2,7.8,10.0,1.8,0.0,0.0
Ronald Acuna Jr.,,OF,5500,ATL,NYM,5.57,Peterson,,2%,L,R,0.394,4%,0.281,11%,,1,,1%,2%,0%,4.4,4.4,4.4,0.9,7.8,11.2,2.0,0.0,0.0
Mookie Betts,,OF,5500,LAD,@ARI,5.17,Kelly,0.313,-2%,R,R,0.412,2%,0.258,2%,,2,,3%,0%,0%,9.3,9.3,9.3,1.9,16.6,10.5,1.9,0.0,0.0
Austin Meadows,,OF,5400,TB,@BAL,5.75,Milone,0.321,0%,L,L,0.359,-4%,0.254,-6%,,x,,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Dahl,,OF,5300,COL,SD,6.23,Davies,0.329,1%,R,L,0.368,3%,0.246,9%,,1,,10%,3%,0%,7.3,7.3,7.3,2.9,11.8,10.9,2.1,0.0,0.0
Jose Altuve,,2B,5300,HOU,@LAA,5.05,Ohtani,,%,R,R,0.365,-3%,0.178,-8%,,2,,-2%,2%,0%,9.1,9.1,9.1,1.2,17.1,9.2,1.7,0.0,0.0
Cody Bellinger,,OF,5300,LAD,@ARI,5.17,Kelly,0.325,0%,R,L,0.396,4%,0.284,5%,,3,,7%,0%,0%,4.8,4.8,4.8,2.0,7.5,11.7,2.2,0.0,0.0
Trent Grisham,,OF,5200,SD,@COL,6.77,Senzatela,0.345,5%,R,L,0.319,1%,0.177,2%,,2,,27%,3%,0%,11.9,11.9,11.9,2.9,20.8,12.8,2.5,0.0,0.0
Manny Machado,,3B,5200,SD,@COL,6.77,Senzatela,0.341,4%,R,R,0.338,-6%,0.201,-10%,,3,,31%,4%,0%,9.3,9.3,9.3,2.4,16.1,13.0,2.5,0.0,0.0
Anthony Rendon,,3B,5200,LAA,HOU,4.45,James,0.281,-7%,R,R,0.397,-1%,0.241,-4%,,3,,-1%,2%,0%,10.3,10.3,10.3,2.2,18.3,8.3,1.6,0.0,0.0
Marcus Semien,,SS,5200,OAK,@SEA,5.30,Graveman,0.369,7%,R,R,0.335,-1%,0.178,-6%,,1,,-3%,3%,0%,6.0,6.0,6.0,2.0,10.0,9.6,1.8,0.0,0.0
George Springer,,OF,5200,HOU,@LAA,5.05,Ohtani,,%,R,R,0.368,-2%,0.238,0%,,1,,-3%,2%,0%,4.9,4.9,4.9,-0.9,10.6,9.5,1.8,0.0,0.0
Tommy Pham,,OF,5100,SD,@COL,6.77,Senzatela,0.341,4%,R,R,0.338,-5%,0.192,1%,,4,,29%,3%,0%,12.0,12.0,12.0,1.1,22.9,12.4,2.4,0.0,0.0
Pete Alonso,,1B,5100,NYM,@ATL,5.43,Wright,,-1%,R,R,0.385,0%,0.315,-3%,,3,,5%,3%,0%,6.6,6.6,6.6,0.7,12.6,10.2,2.0,0.0,0.0
Mark Canha,,OF,5100,OAK,@SEA,5.30,Graveman,0.369,7%,R,R,0.360,2%,0.192,-11%,,5,,-2%,3%,0%,7.3,7.3,7.3,1.7,12.9,9.0,1.8,0.0,0.0
