Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Zack Greinke,,SP,10800,HOU,@LAA,60%,3.98,5.5,,,4.88,24.5%,3.68,3.51,R,0.283,0.281,0%,-2%,0%,1.9,1.9,1.9,1.9,1.9,16.5,1.5,0.0,0.0
Julio Urias,,SP,9900,LAD,@ARI,59%,4.28,5,,,3.12,23.4%,4.39,4.49,L,0.332,0.242,-5%,0%,0%,10.4,10.4,10.4,10.4,10.4,13.9,1.4,0.0,0.0
Jack Flaherty,,SP,9500,STL,@MIL,57%,3.90,7,,,4.00,29.2%,3.69,3.66,R,0.279,0.264,-2%,0%,0%,24.1,24.1,24.1,24.1,24.1,19.4,2.0,0.0,0.0
Tyler Glasnow,,SP,9300,TB,@BAL,68%,3.57,7.5,,,5.17,26.7%,4.04,3.91,R,0.324,0.316,-1%,-1%,0%,23.2,23.2,23.2,23.2,23.2,20.1,2.2,0.0,0.0
Carlos Carrasco,,SP,9200,CLE,@MIN,46%,4.42,6.5,,,5.71,28.8%,3.25,3.15,R,0.312,0.289,0%,-1%,0%,29.9,29.9,29.9,29.9,29.9,17.8,1.9,0.0,0.0
Kenta Maeda,,SP,9000,MIN,CLE,54%,4.08,5,,,3.12,27.0%,3.77,3.79,R,0.326,0.256,-1%,-1%,0%,20.3,20.3,20.3,20.3,20.3,13.9,1.5,0.0,0.0
Griffin Canning,,SP,8700,LAA,HOU,40%,5.02,5.5,,,6.00,25.0%,4.33,4.75,R,0.299,0.325,1%,-1%,0%,14.9,14.9,14.9,14.9,14.9,14.7,1.7,0.0,0.0
Mitch Keller,,SP,8500,PIT,@CHC,39%,5.04,5.5,,,6.29,28.6%,3.78,3.47,R,,,-3%,-1%,2%,14.3,14.3,14.3,14.3,14.3,14.2,1.7,0.0,0.0
Tyler Chatwood,,SP,8200,CHC,PIT,61%,3.96,5,,,3.71,19.4%,5.17,4.67,R,0.360,0.292,-1%,-1%,2%,28.5,28.5,28.5,28.5,28.5,13.0,1.6,0.0,0.0
Luke Weaver,,SP,8100,ARI,LAD,41%,5.22,5,,,5.00,23.4%,4.08,3.96,R,0.331,0.313,-1%,0%,0%,1.5,1.5,1.5,1.5,1.5,13.7,1.7,0.0,0.0
Mike Fiers,,SP,8000,OAK,@SEA,57%,4.33,4,,,5.12,19.2%,4.65,4.79,R,0.315,0.335,5%,-2%,0%,-3.2,-3.2,-3.2,-3.2,-3.2,11.8,1.5,0.0,0.0
Jordan Lyles,,RP,7900,TEX,@SF,53%,4.10,4.5,,,4.50,22.0%,4.32,4.46,R,0.361,0.321,1%,0%,0%,0.0,0.0,0.0,0.0,0.0,12.4,1.6,0.0,0.0
Michael Wacha,,SP,7800,NYM,@ATL,48%,5.11,4,,,5.75,20.6%,4.56,4.24,R,0.310,0.337,-9%,-2%,0%,17.6,17.6,17.6,17.6,17.6,10.0,1.3,0.0,0.0
Masahiro Tanaka,,SP,7500,NYY,BOS,62%,4.56,5,,,4.62,23.4%,3.84,3.73,R,0.308,0.313,-2%,-1%,0%,0.0,0.0,0.0,0.0,0.0,14.1,1.9,0.0,0.0
Drew Smyly,,SP,7300,SF,TEX,47%,4.40,5,,,2.50,23.4%,4.86,5.21,L,0.360,0.364,0%,0%,0%,6.5,6.5,6.5,6.5,6.5,13.3,1.8,0.0,0.0
Touki Toussaint,,SP,7300,ATL,NYM,52%,4.89,5.5,,,4.62,24.0%,4.89,5.06,R,,0.291,-1%,-1%,0%,0.0,0.0,0.0,0.0,0.0,13.7,1.9,0.0,0.0
Gio Gonzalez,,SP,7200,CWS,@KC,56%,4.90,4.5,,,4.12,21.4%,4.62,4.36,L,0.249,0.317,-4%,0%,0%,0.0,0.0,0.0,0.0,0.0,11.4,1.6,0.0,0.0
Joey Lucchesi,,SP,6400,SD,@COL,50%,6.27,5,,,4.67,24.6%,4.10,3.96,L,0.285,0.319,-17%,-3%,0%,4.0,4.0,4.0,4.0,4.0,11.3,1.8,0.0,0.0
Ronald Bolanos,,RP,6400,KC,CWS,44%,5.60,4,,,4.29,,,,R,,,-2%,-1%,0%,3.5,3.5,3.5,3.5,3.5,9.0,1.4,0.0,0.0
Zack Godley,,SP,5900,BOS,@NYY,38%,5.94,4.5,,,5.17,23.0%,4.24,4.04,R,0.326,0.313,-1%,-2%,0%,0.0,0.0,0.0,0.0,0.0,10.8,1.8,0.0,0.0
Kyle Freeland,,SP,5500,COL,SD,50%,6.23,4.5,,,6.50,17.9%,4.76,4.57,L,0.286,0.339,-10%,-3%,0%,19.3,19.3,19.3,19.3,19.3,9.8,1.8,0.0,0.0
Yusei Kikuchi,,SP,5100,SEA,OAK,42%,5.17,4.5,,,3.43,16.1%,5.17,5.18,L,0.340,0.374,3%,-2%,0%,0.8,0.8,0.8,0.8,0.8,12.6,2.5,0.0,0.0
Wade LeBlanc,,SP,4400,BAL,TB,32%,5.43,4,,,5.12,18.7%,4.41,4.61,L,0.328,0.321,0%,-2%,0%,14.3,14.3,14.3,14.3,14.3,8.8,2.0,0.0,0.0
